RoundID,MatchID,Team Initials,Coach Name,Line-up,Shirt Number,Player Name,Position,Event
255931,300186456,BRA,SCOLARI Luiz Felipe (BRA),S,12,JULIO CESAR,GK,
255931,300186456,CRO,KOVAC Niko (CRO),S,1,PLETIKOSA,GK,
255931,300186456,BRA,SCOLARI Luiz Felipe (BRA),S,2,DANI ALVES,,
255931,300186456,CRO,KOVAC Niko (CRO),S,2,VRSALJKO,,
255931,300186456,BRA,SCOLARI Luiz Felipe (BRA),S,3,T SILVA,C,
255931,300186456,CRO,KOVAC Niko (CRO),S,4,PERI�I?,,
255931,300186456,BRA,SCOLARI Luiz Felipe (BRA),S,4,DAVID LUIZ,,
255931,300186456,CRO,KOVAC Niko (CRO),S,5,CORLUKA,,Y66'
255931,300186456,BRA,SCOLARI Luiz Felipe (BRA),S,6,MARCELO,,W11'
255931,300186456,CRO,KOVAC Niko (CRO),S,6,LOVREN,,Y69'
255931,300186456,BRA,SCOLARI Luiz Felipe (BRA),S,7,HULK,,O68'
255931,300186456,CRO,KOVAC Niko (CRO),S,7,RAKITI?,,
255931,300186456,BRA,SCOLARI Luiz Felipe (BRA),S,8,PAULINHO,,O63'
255931,300186456,CRO,KOVAC Niko (CRO),S,9,JELAVI?,,O78'
255931,300186456,BRA,SCOLARI Luiz Felipe (BRA),S,9,FRED,,
255931,300186456,CRO,KOVAC Niko (CRO),S,10,MODRI?,,
255931,300186456,BRA,SCOLARI Luiz Felipe (BRA),S,10,NEYMAR JR,,Y27' G29' P71' O88'
255931,300186456,CRO,KOVAC Niko (CRO),S,11,SRNA,C,
255931,300186456,BRA,SCOLARI Luiz Felipe (BRA),S,11,OSCAR,,G90'
255931,300186456,CRO,KOVAC Niko (CRO),S,18,OLI?,,
255931,300186456,BRA,SCOLARI Luiz Felipe (BRA),S,17,L GUSTAVO,,Y88'
255931,300186456,CRO,KOVAC Niko (CRO),S,20,KOVA?I?,,O61'
255931,300186456,BRA,SCOLARI Luiz Felipe (BRA),N,1,JEFFERSON,GK,
255931,300186456,CRO,KOVAC Niko (CRO),N,12,ZELENIKA,GK,
255931,300186456,BRA,SCOLARI Luiz Felipe (BRA),N,22,VICTOR,GK,
